,Alkaloids,Benzenoids,Glycosides,Lignans,Lipids & Terpenes,Nucleosides,Other,Peptides,Polyketides
C1,0.77 ± 0.04,0.69 ± 0.01,0.86 ± 0.01,0.73 ± 0.03,0.81 ± 0.01,0.89 ± 0.04,0.73 ± 0.01,0.81 ± 0.01,0.75 ± 0.02
R1,0.5 ± 0.05,0.52 ± 0.01,0.46 ± 0.03,0.55 ± 0.07,0.51 ± 0.01,0.57 ± 0.03,0.51 ± 0.01,0.38 ± 0.04,0.5 ± 0.05
A2,0.58 ± 0.04,0.6 ± 0.03,0.78 ± 0.02,0.63 ± 0.01,0.67 ± 0.0,0.82 ± 0.08,0.61 ± 0.0,0.68 ± 0.03,0.67 ± 0.02
A5,0.65 ± 0.07,0.65 ± 0.03,0.83 ± 0.0,0.71 ± 0.09,0.73 ± 0.01,0.87 ± 0.04,0.67 ± 0.0,0.75 ± 0.0,0.71 ± 0.03
A10,0.73 ± 0.04,0.68 ± 0.02,0.86 ± 0.01,0.7 ± 0.04,0.79 ± 0.01,0.87 ± 0.03,0.71 ± 0.0,0.79 ± 0.02,0.76 ± 0.03
A20,0.71 ± 0.05,0.69 ± 0.03,0.87 ± 0.0,0.73 ± 0.02,0.8 ± 0.01,0.91 ± 0.0,0.72 ± 0.01,0.81 ± 0.01,0.78 ± 0.02
A50,0.74 ± 0.03,0.7 ± 0.03,0.88 ± 0.01,0.78 ± 0.02,0.81 ± 0.0,0.92 ± 0.05,0.73 ± 0.01,0.81 ± 0.01,0.77 ± 0.01
NPSTEREO,0.75 ± 0.06,0.71 ± 0.01,0.88 ± 0.01,0.75 ± 0.05,0.82 ± 0.01,0.88 ± 0.05,0.74 ± 0.01,0.82 ± 0.01,0.74 ± 0.01
RP,0.53 ± 0.02,0.55 ± 0.04,0.5 ± 0.0,0.51 ± 0.02,0.51 ± 0.01,0.51 ± 0.06,0.52 ± 0.01,0.49 ± 0.01,0.52 ± 0.03
M65,0.64 ± 0.04,0.65 ± 0.01,0.86 ± 0.01,0.64 ± 0.07,0.76 ± 0.0,0.89 ± 0.07,0.67 ± 0.01,0.78 ± 0.01,0.72 ± 0.03
NPSTEREO PARTIAL,0.8 ± 0.05,0.76 ± 0.01,0.9 ± 0.01,0.83 ± 0.04,0.87 ± 0.01,0.91 ± 0.01,0.81 ± 0.0,0.83 ± 0.01,0.82 ± 0.01
RP PARTIAL,0.54 ± 0.04,0.54 ± 0.01,0.51 ± 0.0,0.58 ± 0.04,0.51 ± 0.01,0.56 ± 0.1,0.53 ± 0.0,0.49 ± 0.0,0.51 ± 0.02
M65 PARTIAL,0.73 ± 0.03,0.73 ± 0.0,0.88 ± 0.01,0.77 ± 0.04,0.82 ± 0.01,0.9 ± 0.07,0.74 ± 0.01,0.79 ± 0.0,0.79 ± 0.01
